Smiles,AlogP,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI
Cc1cc(C)c(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)c(C)c1,3.81,13.99,0.26,0.49,5.29
COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,4.96,18.21,0.33,1.55,11.57
Oc1c(I)cc(I)c2cccnc12,3.15,12.76,0.53,1.92,15.3
CCOc1ccc(C2=NN(C(C)=O)C(c3ccc(C(=O)OCCn4c([N+](=O)[O-])cnc4C)cc3)C2)cc1,4.05,9.55,0.18,0.78,3.74
Cn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,6.18,19,0.37,1.78,15.31
CN(CCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21)C(=O)CO,5.09,15.86,0.31,3.15,8.91
O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1,3.43,15.52,0.33,4.66,6.39
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccccc1,6.3,13.8,0.26,-0.18,13.02
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN(C)C)cc1,6.36,14.74,0.28,1.03,14.69
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN2CCCC2)o1,6.49,13.26,0.25,0.36,10.81
O=C(NCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(F)(F)F,5.79,13.58,0.26,1.14,8.12
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.38,12.11,0.23,-1.2,23.44
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.41,17.59,0.33,3.51,9.26
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ncc(CN2CCCC2)s1,6.35,13.03,0.26,0.61,11.02
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1cccc(CN(C)C)c1,6.36,14.24,0.27,0.78,14.19
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1ccc(CNCCS(C)(=O)=O)cc1,6.2,11.91,0.24,0.72,7.42
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(OCc4ccccn4)c(Cl)c3)c3c(N)ncnc32)C1,4.05,16.51,0.32,4.04,7.22
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN(C)C,4.53,15.91,0.31,2.59,8.98
